Time (UTC),Price (USD/MWh)
2022-09-25 02,119.70849694803029
2022-09-25 03,108.83463374410829
2022-09-25 04,97.96077054018642
2022-09-25 05,88.15306619383449
2022-09-25 06,95.02008834187893
2022-09-25 07,101.88711048992332
2022-09-25 08,109.34484423395124
2022-09-25 09,123.19300321219663
2022-09-25 10,137.04116219044187
2022-09-25 11,147.45488516610476
2022-09-25 12,135.60654398877264
2022-09-25 13,123.75820281144067
2022-09-25 14,112.1821468164888
2022-09-25 15,100.72331952342545
2022-09-25 16,89.26449223036221
2022-09-25 17,86.65624034118139
2022-09-25 18,84.08882780540927
2022-09-25 19,95.47173723952666
2022-09-25 20,110.14884090043327
2022-09-25 21,124.82594456134004
2022-09-25 22,161.34998390036617
2022-09-25 23,188.66973298935497
2022-09-26 00,195.0146022167433
2022-09-26 01,189.44312814944175
2022-09-26 02,183.87165408214008
2022-09-26 03,162.75648440389116
2022-09-26 04,141.05779520610318
2022-09-26 05,142.39540892345315
2022-09-26 06,136.02414380002676
2022-09-26 07,122.71840751968232
2022-09-26 08,112.00666158735287
2022-09-26 09,128.34653091060463
2022-09-26 10,182.91165356365158
2022-09-26 11,180.54479805312414
2022-09-26 12,145.06340201821573
2022-09-26 13,114.62852923705555
2022-09-26 14,97.93533722332242
2022-09-26 15,106.02595219754554
2022-09-26 16,100.83069732940798
2022-09-26 17,93.87797584434698
2022-09-26 18,95.47233338949704
2022-09-26 19,106.98059217445939
2022-09-26 20,129.64568428994903
2022-09-26 21,157.3820643962531
2022-09-26 22,185.11844450255654
2022-09-26 23,216.67774167651112
2022-09-27 00,246.18738798738815
2022-09-27 01,219.05560524663977
2022-09-27 02,199.58051669025573
2022-09-27 03,212.4636195189706
2022-09-27 04,213.36780359528422
2022-09-27 05,201.50888763468993
2022-09-27 06,205.5155127419514
2022-09-27 07,196.27092739620454
2022-09-27 08,190.78779497466778
2022-09-27 09,202.29605389829604
2022-09-27 10,196.35981944943813
2022-09-27 11,164.87691034159093
2022-09-27 12,137.2324075193258
2022-09-27 13,124.76755945219395
2022-09-27 14,136.60380722187014
2022-09-27 15,123.20109523969786
2022-09-27 16,109.79838325752584
2022-09-27 17,98.34036213502057
2022-09-27 18,112.08501710675236
2022-09-27 19,125.82967207848385
2022-09-27 20,147.89972797033374
2022-09-27 21,173.36077923156887
2022-09-27 22,203.8077120237781
2022-09-27 23,234.44114915822644
2022-09-28 00,221.56830253424496
2022-09-28 01,185.1698347361098
2022-09-28 02,183.67078700639837
2022-09-28 03,184.61366143954479
2022-09-28 04,190.9770743339509
2022-09-28 05,216.43812594503933
2022-09-28 06,217.73386313940128
2022-09-28 07,204.5898042071006
2022-09-28 08,259.1572102710625
2022-09-28 09,248.5446104190537
2022-09-28 10,223.69738310233348
2022-09-28 11,175.91783183720761
2022-09-28 12,130.46328690552684
2022-09-28 13,149.27600094844925
2022-09-28 14,165.35256399333386
2022-09-28 15,132.0192306600003
2022-09-28 16,109.03138627885366
2022-09-28 17,113.83896739755514
2022-09-28 18,137.00141334380675
2022-09-28 19,160.16385929005781
2022-09-28 20,190.99358972444378
2022-09-28 21,224.59719369273134
2022-09-28 22,269.6422381885911
2022-09-28 23,289.19399905948904
2022-09-29 00,253.4066777191546
2022-09-29 01,240.87902348155976
2022-09-29 02,258.60951993546064
2022-09-29 03,247.45046611212157
2022-09-29 04,236.09859780177078
2022-09-29 05,242.82988479236406
2022-09-29 06,226.3686865059253
2022-09-29 07,209.40577902079508
2022-09-29 08,210.0740495481588
2022-09-29 09,201.57101754619057
2022-09-29 10,187.13532193118678
2022-09-29 11,153.7794312290093
2022-09-29 12,114.94571622441845
2022-09-29 13,114.74862598181042
2022-09-29 14,117.8340321503815
2022-09-29 15,105.9856909730493
2022-09-29 16,110.4927819147041
2022-09-29 17,117.22406892253287
2022-09-29 18,123.95535593036163
2022-09-29 19,138.24213465351383
2022-09-29 20,169.41420453428466
2022-09-29 21,200.5862744150555
2022-09-29 22,231.75834429582568
2022-09-29 23,203.182758362144
2022-09-30 00,280.47634895742766
2022-09-30 01,325.9716974608368
2022-09-30 02,284.56678622077646
2022-09-30 03,246.7209377368098
2022-09-30 04,277.89300780434996
2022-09-30 05,250.82067912727638
2022-09-30 06,216.7188539689567
2022-09-30 07,192.20715121837168
2022-09-30 08,182.70144783465943
2022-09-30 09,173.19574445094676
