Time (UTC),Price (USD/MWh)
2022-09-28 17,386.21919368534213
2022-09-28 18,348.60868776178194
2022-09-28 19,339.6511008541255
2022-09-28 20,330.69351394646884
2022-09-28 21,321.7359270388122
2022-09-28 22,315.0903276182884
2022-09-28 23,309.75691198821437
2022-09-29 00,340.6995843602165
2022-09-29 01,383.468175388726
2022-09-29 02,481.1243641681135
2022-09-29 03,537.1836730159957
2022-09-29 04,504.90351829613303
2022-09-29 05,407.2938875971766
2022-09-29 06,369.49371610444456
2022-09-29 07,354.7683924
2022-09-29 08,346.43765232761007
2022-09-29 09,333.31254870278053
2022-09-29 10,359.2349021037027
2022-09-29 11,385.1572555046254
2022-09-29 12,412.4525492646968
2022-09-29 13,487.43825575997835
2022-09-29 14,551.1339255236286
2022-09-29 15,547.8568733353028
2022-09-29 16,461.2245345681729
2022-09-29 17,408.85393875650703
2022-09-29 18,373.84760740608436
2022-09-29 19,354.291288239606
2022-09-29 20,334.7349690731272
2022-09-29 21,322.55805039202266
2022-09-29 22,317.20313124465696
2022-09-29 23,332.49179817334266
2022-09-30 00,357.1507379895894
2022-09-30 01,387.1644439281496
2022-09-30 02,443.61793914678213
2022-09-30 03,500.0714343654171
2022-09-30 04,413.0130801890252
2022-09-30 05,375.69149072407544
2022-09-30 06,338.36990125912405
2022-09-30 07,283.6828178801542
2022-09-30 08,237.189099452976
2022-09-30 09,204.1545282457817
2022-09-30 10,228.0888421244415
2022-09-30 11,270.13577837929483
2022-09-30 12,312.18271446772167
2022-09-30 13,354.22964985817123
2022-09-30 14,320.82275535190786
2022-09-30 15,279.9007604137121
2022-09-30 16,230.47045424108964
2022-09-30 17,174.14349583078297
2022-09-30 18,117.8165374204739
2022-09-30 19,64.45917397904003
2022-09-30 20,50.96093190121741
2022-09-30 21,37.4626898233942
2022-09-30 22,23.964447745571576
2022-09-30 23,20.656574947143334
2022-10-01 00,30.541329439514044
2022-10-01 01,40.426083931884335
2022-10-01 02,50.31083842425462
2022-10-01 03,60.19559291662533
2022-10-01 04,92.71291795219618
2022-10-01 05,96.65797777020933
2022-10-01 06,88.9417839041347
2022-10-01 07,81.2255900380604
2022-10-01 08,73.50939617198611
2022-10-01 09,65.79320230591148
2022-10-01 10,86.97846638499438
2022-10-01 11,109.73598165154229
2022-10-01 12,138.55949587089125
2022-10-01 13,175.2926491862034
2022-10-01 14,176.4686842858036
2022-10-01 15,144.85507992847374
2022-10-01 16,113.44181492150237
2022-10-01 17,83.24518585215992
2022-10-01 18,62.49615851604112
2022-10-01 19,58.93272105735886
2022-10-01 20,62.69513755493112
2022-10-01 21,61.35998145690329
2022-10-01 22,58.85558583
2022-10-01 23,58.85558583
2022-10-02 00,58.85558583
2022-10-02 01,58.85558583
2022-10-02 02,74.45485872637362
2022-10-02 03,87.11838418611664
2022-10-02 04,77.43709108418864
2022-10-02 05,67.75579798226063
2022-10-02 06,59.06984066333231
2022-10-02 07,61.72547301600594
2022-10-02 08,64.38110536867957
2022-10-02 09,94.01357728121835
2022-10-02 10,140.3087806092666
2022-10-02 11,186.60398393731487
2022-10-02 12,232.89918726536507
