Time (UTC), WUE (L/kWh)
2022-10-02 10,7.357902002916717
2022-10-02 11,7.345695303354731
2022-10-02 12,7.254143275611281
2022-10-02 13,7.160042583935779
2022-10-02 14,7.1460358615986355
2022-10-02 15,7.1351899684132825
2022-10-02 16,7.120489237530228
2022-10-02 17,7.108459906130236
2022-10-02 18,7.34660378423944
2022-10-02 19,7.342447129616409
2022-10-02 20,7.250966960387949
2022-10-02 21,7.242097248042969
2022-10-02 22,7.238942952493074
2022-10-02 23,7.245265726173099
2022-10-03 00,7.0204525393637125
2022-10-03 01,7.357062851426288
2022-10-03 02,7.2881275887916335
2022-10-03 03,7.078544532837576
2022-10-03 04,7.182359571253965
2022-10-03 05,6.883220848278869
2022-10-03 06,6.887867885650618
2022-10-03 07,7.366496054817582
2022-10-03 08,7.154615720677906
2022-10-03 09,6.959399514006727
2022-10-03 10,7.151004639752321
2022-10-03 11,6.867261410846004
2022-10-03 12,6.776746043798243
2022-10-03 13,7.000569025459848
2022-10-03 14,7.20752059749707
2022-10-03 15,6.891965052736612
2022-10-03 16,6.80630858171362
2022-10-03 17,6.806141935756045
2022-10-03 18,6.806757033711872
2022-10-03 19,6.803691115208173
2022-10-03 20,7.0120796965304955
2022-10-03 21,6.783847255990545
2022-10-03 22,6.783837020041029
2022-10-03 23,6.594354718839483
2022-10-04 00,6.803785809139011
2022-10-04 01,6.8926251360068775
2022-10-04 02,7.057010442721829
2022-10-04 03,7.385980848549472
2022-10-04 04,7.406450916786138
2022-10-04 05,7.351433320834122
2022-10-04 06,7.356217746756733
2022-10-04 07,7.024118189057773
2022-10-04 08,7.1061462945971385
2022-10-04 09,7.449282667823024
2022-10-04 10,7.514102879199554
2022-10-04 11,7.113089876534682
2022-10-04 12,7.491374305942908
2022-10-04 13,7.664956775820011
2022-10-04 14,7.381745666087581
2022-10-04 15,7.370547302081657
2022-10-04 16,7.361491035791435
2022-10-04 17,7.351535330608954
2022-10-04 18,7.350961285225769
2022-10-04 19,7.342578710333978
2022-10-04 20,7.331225024255951
2022-10-04 21,7.322759195716213
2022-10-04 22,7.324181405345108
2022-10-04 23,7.328763806607864
2022-10-05 00,7.3422588548064125
2022-10-05 01,7.445232034515094
2022-10-05 02,7.544203677384547
2022-10-05 03,7.3950747977827
2022-10-05 04,7.755305698351413
2022-10-05 05,7.604327574427158
2022-10-05 06,7.611254616999671
2022-10-05 07,7.527661991744628
2022-10-05 08,7.620808766039153
2022-10-05 09,7.30559395083194
2022-10-05 10,7.372321939826521
2022-10-05 11,6.983085837590532
2022-10-05 12,7.115078226953227
2022-10-05 13,7.6865586253605205
2022-10-05 14,7.399832318735693
2022-10-05 15,7.3792629068472575
2022-10-05 16,7.631121923435737
2022-10-05 17,7.350214521111749
2022-10-05 18,7.441831957278809
2022-10-05 19,7.437434931169512
2022-10-05 20,7.343268863888146
2022-10-05 21,7.338251941424037
2022-10-05 22,7.337557706661649
2022-10-05 23,7.343120762724654
2022-10-06 00,7.628933482191362
2022-10-06 01,7.458264265950203
2022-10-06 02,7.553875193091006
2022-10-06 03,7.652780454380269
2022-10-06 04,7.756254272158679
2022-10-06 05,7.764663010625613
2022-10-06 06,7.601504557899187
2022-10-06 07,7.52517177255613
2022-10-06 08,7.612509313722883
2022-10-06 09,7.366724546269826
2022-10-06 10,6.579436390164758
2022-10-06 11,6.69984742374621
2022-10-06 12,6.842991364523412
2022-10-06 13,7.036400886093042
2022-10-06 14,6.805518328158385
2022-10-06 15,6.791075267969722
2022-10-06 16,6.776321346874152
2022-10-06 17,6.762528872713288
2022-10-06 18,6.9743683185390095
2022-10-06 19,6.760121906065337
2022-10-06 20,6.891087299229254
2022-10-06 21,6.75170462261752
2022-10-06 22,6.968619968205382
2022-10-06 23,6.758383772205556
2022-10-07 00,6.7672257827248545
2022-10-07 01,7.148104380997687
2022-10-07 02,7.159170787579353
2022-10-07 03,6.476252259721938
2022-10-07 04,7.1920689905738495
2022-10-07 05,7.360102946755192
2022-10-07 06,7.220385288759515
2022-10-07 07,7.464579407811365
2022-10-07 08,7.390994366465586
2022-10-07 09,6.861348451104423
2022-10-07 10,7.065751433764923
2022-10-07 11,7.05420555032627
2022-10-07 12,7.280091439063708
2022-10-07 13,7.250487687998019
2022-10-07 14,6.993179208716949
2022-10-07 15,6.975093500797886
2022-10-07 16,7.194934245732924
2022-10-07 17,7.190466472941026
2022-10-07 18,6.96448165920212
2022-10-07 19,6.884516790217878
2022-10-07 20,6.879601853290633
2022-10-07 21,6.88426373422949
2022-10-07 22,6.882818927299451
2022-10-07 23,6.886651028646999
2022-10-08 00,6.89840236270005
2022-10-08 01,7.311101404500892
2022-10-08 02,7.493018674872252
2022-10-08 03,7.336080923256082
2022-10-08 04,7.680596373559029
2022-10-08 05,7.508486891585218
2022-10-08 06,7.603298819077922
2022-10-08 07,7.160272956096764
2022-10-08 08,7.169781429321025
2022-10-08 09,7.389836605034258
2022-10-08 10,7.305194043365701
2022-10-08 11,7.085437148497472
2022-10-08 12,6.92054570789069
2022-10-08 13,6.722726303046665
2022-10-08 14,6.8896982196169265
2022-10-08 15,7.231678240698341
2022-10-08 16,7.219645334741889
2022-10-08 17,7.212328971473932
2022-10-08 18,7.128309203135199
2022-10-08 19,7.132959878686623
2022-10-08 20,7.125866380967089
2022-10-08 21,7.036139820530979
2022-10-08 22,7.0318025145381835
2022-10-08 23,7.270973692246077
2022-10-09 00,7.288386801292608
2022-10-09 01,7.393767110680419
2022-10-09 02,7.490846634135708
2022-10-09 03,7.42074600835018
2022-10-09 04,7.506981255095449
2022-10-09 05,7.363657441516633
2022-10-09 06,7.369899023669422
2022-10-09 07,7.086327228682881
2022-10-09 08,7.385324378700342
2022-10-09 09,6.976056113857846
2022-10-09 10,6.794191140664881
2022-10-09 11,6.883872625682548
2022-10-09 12,7.198836321788354
2022-10-09 13,7.101589699443437
2022-10-09 14,7.081217566397667
2022-10-09 15,7.544754571850087
2022-10-09 16,7.4481447937451435
2022-10-09 17,7.18753918107341
2022-10-09 18,7.185130093226828
2022-10-09 19,7.435923976864444
2022-10-09 20,7.432013014963837
2022-10-09 21,7.425956296197191
2022-10-09 22,7.427023536193527
2022-10-09 23,7.109919065379052
2022-10-10 00,7.364534348093651
