Time (UTC), WUE (L/kWh)
2022-10-05 05,4.787911293866863
2022-10-05 06,4.77682976235534
2022-10-05 07,4.830806344688623
2022-10-05 08,4.784808594281246
2022-10-05 09,4.649209967890241
2022-10-05 10,4.685228776653492
2022-10-05 11,4.694566749593665
2022-10-05 12,4.690545326165814
2022-10-05 13,4.658511602007422
2022-10-05 14,4.872277492585415
2022-10-05 15,4.946194412847894
2022-10-05 16,5.0560106323697145
2022-10-05 17,5.266686772171605
2022-10-05 18,5.213312916639128
2022-10-05 19,5.258343874622767
2022-10-05 20,5.348512266732406
2022-10-05 21,5.361787895787214
2022-10-05 22,5.255977089641851
2022-10-05 23,5.218444106205422
2022-10-06 00,5.168767380811246
2022-10-06 01,5.126202159285569
2022-10-06 02,5.067819034395945
2022-10-06 03,4.9830221036644105
2022-10-06 04,4.898530026475797
2022-10-06 05,4.904019267668352
2022-10-06 06,4.923404386232628
2022-10-06 07,4.857576416953736
2022-10-06 08,4.840946503677618
2022-10-06 09,4.905832693112572
2022-10-06 10,4.90881807624511
2022-10-06 11,4.90993714802597
2022-10-06 12,4.923806469922349
2022-10-06 13,4.9768441045435114
2022-10-06 14,5.160501698715424
2022-10-06 15,5.485937767425288
2022-10-06 16,5.928724492034233
2022-10-06 17,6.038892608653995
2022-10-06 18,6.1352666294465985
2022-10-06 19,6.213602226559158
2022-10-06 20,6.119609298463762
2022-10-06 21,6.1045881506965
2022-10-06 22,6.098285415523276
2022-10-06 23,6.141555614860413
2022-10-07 00,6.037028689204874
2022-10-07 01,6.029422166625928
2022-10-07 02,5.9154906939160945
2022-10-07 03,5.811814391331532
2022-10-07 04,5.847213108940774
2022-10-07 05,5.874716043262522
2022-10-07 06,5.821961124477422
2022-10-07 07,5.7876688183637
2022-10-07 08,5.749742211746604
2022-10-07 09,5.752185973632328
2022-10-07 10,5.747530809483453
2022-10-07 11,5.748989570325763
2022-10-07 12,5.893014922129985
2022-10-07 13,6.026697558989824
2022-10-07 14,6.014683811695336
2022-10-07 15,6.040453217206753
2022-10-07 16,6.14445225853914
2022-10-07 17,6.316124061993492
2022-10-07 18,6.351995092888939
2022-10-07 19,6.322002049287863
2022-10-07 20,6.28789158124594
2022-10-07 21,6.256497726728948
2022-10-07 22,6.277116725303468
2022-10-07 23,6.168767406211657
2022-10-08 00,6.197351962777918
2022-10-08 01,6.222532741028675
2022-10-08 02,6.219107086588842
2022-10-08 03,6.152674558677838
2022-10-08 04,6.075638187749312
2022-10-08 05,5.939543269526705
2022-10-08 06,5.9023339321952895
2022-10-08 07,5.908048708408242
2022-10-08 08,5.8856811052579925
2022-10-08 09,5.797820246988594
2022-10-08 10,5.7089135861957665
2022-10-08 11,5.682905548591251
2022-10-08 12,5.681045455778069
2022-10-08 13,5.67302729959868
2022-10-08 14,5.90814564459785
2022-10-08 15,6.121443862168871
2022-10-08 16,6.11572953631333
2022-10-08 17,6.026600572467196
2022-10-08 18,6.074894688409305
2022-10-08 19,6.028353182114444
2022-10-08 20,6.040611662333829
2022-10-08 21,5.982187719033201
2022-10-08 22,5.9530145030570445
2022-10-08 23,5.992674208152129
2022-10-09 00,5.933480333516039
2022-10-09 01,6.014829512743007
2022-10-09 02,6.046834938012176
2022-10-09 03,5.960581246600579
2022-10-09 04,5.830340380843288
2022-10-09 05,5.789671781337733
2022-10-09 06,5.711461137215116
2022-10-09 07,5.6170073139664005
2022-10-09 08,5.661201431207544
2022-10-09 09,5.57546492958143
2022-10-09 10,5.574589919812358
2022-10-09 11,5.597440468405483
2022-10-09 12,5.577165828804636
2022-10-09 13,5.590477336025804
2022-10-09 14,5.918080115816362
2022-10-09 15,6.2484528199990566
2022-10-09 16,6.347623263733961
2022-10-09 17,6.300046289965524
2022-10-09 18,6.280314803107944
2022-10-09 19,6.392796545898787
2022-10-09 20,6.35361601184159
2022-10-09 21,6.422127731612396
2022-10-09 22,6.220698824818719
2022-10-09 23,6.270504669882409
2022-10-10 00,6.225783347706384
2022-10-10 01,6.172372039240472
2022-10-10 02,5.985288237140807
2022-10-10 03,5.90446922580141
2022-10-10 04,5.716887516767654
2022-10-10 05,5.588278184770262
2022-10-10 06,5.672873425647988
2022-10-10 07,5.533680545742533
2022-10-10 08,5.548205053140747
2022-10-10 09,5.56044008144757
2022-10-10 10,5.62638077347149
2022-10-10 11,5.617266059911712
2022-10-10 12,5.629230167798877
2022-10-10 13,5.637390265795353
2022-10-10 14,5.96460223703103
2022-10-10 15,6.3469634358900855
2022-10-10 16,6.396217062301585
2022-10-10 17,6.366126530638104
2022-10-10 18,6.3132919626197
2022-10-10 19,6.353312031433163
2022-10-10 20,6.225743799316368
2022-10-10 21,6.287383024811472
2022-10-10 22,6.2670662954615075
2022-10-10 23,6.091453070796187
2022-10-11 00,6.051351960358715
