Time (UTC),Power (Watt)
2022-10-02 14,1383.0000249443585
2022-10-02 15,1756.8333332657332
2022-10-02 16,1766.2222217790663
2022-10-02 17,1554.888881799665
2022-10-02 18,1344.1875256161682
2022-10-02 19,1571.281266532416
2022-10-02 20,1798.375007448664
2022-10-02 21,1859.4999997971997
2022-10-02 22,1829.000019942006
2022-10-02 23,1406.5000368420178
2022-10-03 00,1554.500012535575
2022-10-03 01,1589.3749430977343
2022-10-03 02,1730.375016283128
2022-10-03 03,1674.0625032194562
2022-10-03 04,1478.6666613487973
2022-10-03 05,1706.7187240118785
2022-10-03 06,2187.3125055508563
2022-10-03 07,2575.0832051750494
2022-10-03 08,1613.9999976441434
2022-10-03 09,1542.1750005171414
2022-10-03 10,1470.3500033901423
2022-10-03 11,1672.4895759983185
2022-10-03 12,2033.3750163481004
2022-10-03 13,2219.70237201792
2022-10-03 14,2096.9761864507777
2022-10-03 15,1974.2500008836305
2022-10-03 16,1851.5238153164885
2022-10-03 17,1420.4895847271885
2022-10-03 18,1390.5624994298894
2022-10-03 19,1714.8333066764142
2022-10-03 20,1348.6666546564243
2022-10-03 21,1682.0312474776636
2022-10-03 22,2032.3541501314107
2022-10-03 23,1947.5833407454056
2022-10-04 00,1679.999995504604
2022-10-04 01,1412.4166502638136
2022-10-04 02,1641.0595338730589
2022-10-04 03,1947.874997790924
2022-10-04 04,2254.6904617087757
2022-10-04 05,2561.5059256266277
2022-10-04 06,1681.750006408388
2022-10-04 07,1624.6342652710105
2022-10-04 08,1567.5185241336333
2022-10-04 09,1510.4027829962533
2022-10-04 10,1453.2870418588761
2022-10-04 11,1445.5520714884071
2022-10-04 12,1626.875000054395
2022-10-04 13,1808.197928620375
2022-10-04 14,1655.4166608925082
2022-10-04 15,1479.375001267503
2022-10-04 16,1366.3333102338352
2022-10-04 17,1855.7291239913216
2022-10-04 18,1565.4999974734537
2022-10-04 19,1451.2083697302915
2022-10-04 20,1842.4166529241688
2022-10-04 21,1423.4375030166625
2022-10-04 22,1622.1166741789907
2022-10-04 23,1831.9583501836105
2022-10-05 00,2025.0000103258985
2022-10-05 01,2116.541673330896
2022-10-05 02,1888.7500270230548
2022-10-05 03,2383.6041629236124
2022-10-05 04,2117.1944325980967
2022-10-05 05,1850.7847022725814
2022-10-05 06,1584.3749719470547
2022-10-05 07,1955.5208658855374
2022-10-05 08,1575.9999788665857
2022-10-05 09,1374.656249505673
2022-10-05 10,1443.3124967594224
2022-10-05 11,1673.604120307129
2022-10-05 12,2080.0000063206003
2022-10-05 13,2023.6666712737958
2022-10-05 14,1967.3333362269916
2022-10-05 15,1911.0000011801849
2022-10-05 16,1942.499997507249
2022-10-05 17,1352.0499780544926
2022-10-05 18,1630.8999904633197
2022-10-05 19,1909.750002872135
2022-10-05 20,2012.7222092111379
2022-10-05 21,1616.0416695227786
2022-10-05 22,1588.8333207033932
2022-10-05 23,1856.4166433333908
2022-10-06 00,1774.0000069459238
2022-10-06 01,1782.3333620407848
2022-10-06 02,1789.7708243833856
2022-10-06 03,1516.9062519646263
2022-10-06 04,1329.4444442228667
2022-10-06 05,1334.138888479533
2022-10-06 06,1549.083339969875
2022-10-06 07,1391.819435223545
2022-10-06 08,2045.2000047117108
2022-10-06 09,2188.8499989657153
2022-10-06 10,2272.7500408811384
2022-10-06 11,1406.6250755261294
2022-10-06 12,1760.3333346083398
2022-10-06 13,2027.6110817201445
2022-10-06 14,1623.8888756468123
2022-10-06 15,2580.7499838773933
2022-10-06 16,1953.3333705584241
2022-10-06 17,1363.68749804884
2022-10-06 18,1395.375000128333
2022-10-06 19,1427.062502207825
2022-10-06 20,1981.500018708264
2022-10-06 21,2242.5000042588135
2022-10-06 22,1651.000027918815
2022-10-06 23,1712.624950263276
2022-10-07 00,1989.000008044404
2022-10-07 01,1869.2916626404813
2022-10-07 02,1376.458347075838
2022-10-07 03,1781.0000028392053
2022-10-07 04,1386.6666852792162
2022-10-07 05,1358.6250007809197
2022-10-07 06,1442.8750424950363
2022-10-07 07,1819.6041940925402
2022-10-07 08,2196.3333456900436
2022-10-07 09,1947.675002261215
2022-10-07 10,1633.616681490219
2022-10-07 11,1338.1666688646062
2022-10-07 12,1309.9999993578003
2022-10-07 13,1372.6979329427643
2022-10-07 14,1596.2708406665124
2022-10-07 15,1783.1250013689043
2022-10-07 16,1593.000008973906
2022-10-07 17,1402.8750165789077
2022-10-07 18,1580.916670418003
2022-10-07 19,1394.2917225436704
2022-10-07 20,2161.8333585086493
2022-10-07 21,1827.6562525983868
2022-10-07 22,1466.7708503671402
2022-10-07 23,1752.6562530479498
2022-10-08 00,1514.999987451743
2022-10-08 01,1621.8125407543373
2022-10-08 02,1899.3333203992029
2022-10-08 03,1505.000002839197
2022-10-08 04,1951.9166745221266
2022-10-08 05,1779.3958359412811
2022-10-08 06,1606.8749973604356
2022-10-08 07,1434.3541587796049
2022-10-08 08,2138.250007795112
2022-10-08 09,2375.906248288875
2022-10-08 10,1404.861109892432
2022-10-08 11,1430.6805533040992
2022-10-08 12,1641.3749811876532
2022-10-08 13,1956.4895852003626
2022-10-08 14,1969.9999833704308
2022-10-08 15,1463.000003650423
2022-10-08 16,1494.999996262956
2022-10-08 17,1801.3125001875962
2022-10-08 18,2107.6250041122366
2022-10-08 19,2413.937508036851
2022-10-08 20,2541.083293722604
2022-10-08 21,1333.4375086950856
2022-10-08 22,1867.0624733275395
2022-10-08 23,2432.156200723819
2022-10-09 00,2272.000030663354
2022-10-09 01,1815.7000103580328
2022-10-09 02,1359.3999900526726
2022-10-09 03,1808.3749957918922
2022-10-09 04,2392.833305746851
2022-10-09 05,1948.354265833128
2022-10-09 06,1544.8124645070761
2022-10-09 07,1997.2395775309274
2022-10-09 08,2245.7777572987416
2022-10-09 09,1621.416671162065
2022-10-09 10,1959.4166025198078
2022-10-09 11,1901.9305717251098
2022-10-09 12,1672.750032124808
2022-10-09 13,1349.8083691150932
2022-10-09 14,1841.3166827881155
2022-10-09 15,2332.8249964611377
2022-10-09 16,2708.0
2022-10-09 17,2708.0
2022-10-09 18,2708.0
2022-10-09 19,2262.500141486642
2022-10-09 20,2159.9583160686097
2022-10-09 21,1633.5937537898517
2022-10-09 22,1591.9166503806728
2022-10-09 23,1677.6111187439708
2022-10-10 00,1405.3333135115074
2022-10-10 01,1501.937517685834
2022-10-10 02,1456.9999916852128
2022-10-10 03,1606.624995284877
2022-10-10 04,1595.5000049855112
2022-10-10 05,1641.9583308635324
2022-10-10 06,1741.9500019798336
2022-10-10 07,1841.9416730961261
2022-10-10 08,1877.333334257199
2022-10-10 09,1918.7916659737648
2022-10-10 10,2015.0277732354248
2022-10-10 11,1406.916783333099
2022-10-10 12,1326.7500016709866
2022-10-10 13,1318.145832051751
2022-10-10 14,1342.250001524379
2022-10-10 15,1388.7249996653798
2022-10-10 16,1435.1999978063766
2022-10-10 17,2082.375028099468
2022-10-10 18,1381.7499976171007
2022-10-10 19,1360.6249984621013
2022-10-10 20,1339.4999993071
2022-10-10 21,1858.874995487708
2022-10-10 22,2180.749991026089
2022-10-10 23,2370.874983421092
2022-10-11 00,1388.4999180814752
