Time (UTC),Carbon (kg/kWh)
2022-09-22 00,0.42786545896114203
2022-09-22 00,0.43326049979000414
2022-09-22 00,0.43276735674468364
2022-09-22 00,0.4240939424148244
2022-09-22 00,0.39580842858964016
2022-09-22 00,0.40238319643225295
2022-09-22 00,0.38939786418091105
2022-09-22 00,0.3855624557370579
2022-09-22 00,0.3861451782337699
2022-09-22 00,0.3896366253598699
2022-09-22 00,0.3987911714954892
2022-09-22 00,0.4047782206059581
2022-09-22 00,0.3995915168943206
2022-09-22 00,0.40337081745859404
2022-09-22 00,0.4099624998799612
2022-09-22 00,0.40998530066402045
2022-09-22 00,0.40813665426175855
2022-09-22 00,0.4050184549904235
2022-09-22 00,0.4066689709283119
2022-09-22 00,0.4063576535612719
2022-09-22 00,0.4086188717737854
2022-09-22 00,0.41539316526785924
2022-09-22 00,0.41906266387625996
2022-09-22 00,0.42192522085250744
2022-09-22 00,0.42541461076810166
2022-09-22 00,0.42976386530971683
2022-09-22 00,0.4248596843231675
2022-09-22 00,0.4156597115432937
2022-09-22 00,0.40900840159850643
2022-09-22 00,0.38295073636403737
2022-09-22 00,0.37149225461524404
2022-09-22 00,0.36586154534325266
2022-09-22 00,0.36403608868322823
2022-09-22 00,0.3662087054104388
2022-09-22 00,0.36885426673118
2022-09-22 00,0.3710657970639134
2022-09-22 00,0.3705276305402053
2022-09-22 00,0.37590966096062944
2022-09-22 00,0.3886543152884211
2022-09-22 00,0.39579557392661835
2022-09-22 00,0.392594635068606
2022-09-22 00,0.390443608346594
2022-09-22 00,0.3925254855746149
2022-09-22 00,0.3908040979253397
2022-09-22 00,0.39160959055761824
2022-09-22 00,0.39429730717576456
2022-09-22 00,0.39763956499223196
2022-09-22 00,0.402211992509162
2022-09-22 00,0.4118782859692414
2022-09-22 00,0.4106617199354857
2022-09-22 00,0.4096465974370305
2022-09-22 00,0.40593968615487497
2022-09-22 00,0.4018117955383207
2022-09-22 00,0.3834366357329903
2022-09-22 00,0.3767242821561164
2022-09-22 00,0.37112129069781535
2022-09-22 00,0.3694151489153082
2022-09-22 00,0.36894059515468863
2022-09-22 00,0.3707065667232307
2022-09-22 00,0.36883381909856733
2022-09-22 00,0.3654201664730015
2022-09-22 00,0.36884372470533444
2022-09-22 00,0.37431761778651057
2022-09-22 00,0.3841557001466276
2022-09-22 00,0.38677612548380524
2022-09-22 00,0.38704727296475283
2022-09-22 00,0.3858045211913679
2022-09-22 00,0.3835859489638881
2022-09-22 00,0.3835333333333334
2022-09-22 00,0.38390286368024024
2022-09-22 00,0.3894976739582303
2022-09-22 00,0.38720270107431193
2022-09-22 00,0.3877371168138581
2022-09-22 00,0.39223251061153896
2022-09-22 00,0.39435111379426785
2022-09-22 00,0.38881645723980696
2022-09-22 00,0.3966707896821904
2022-09-22 00,0.3753872031287305
2022-09-22 00,0.36992352487195673
2022-09-22 00,0.36843970528913456
2022-09-22 00,0.36648008804564974
2022-09-22 00,0.36669935593341857
2022-09-22 00,0.3718600638375558
2022-09-22 00,0.37034042123279526
2022-09-22 00,0.36735866601252753
2022-09-22 00,0.3680508491257231
2022-09-22 00,0.3743429799038472
2022-09-22 00,0.3832013164071474
2022-09-22 00,0.38377257706058565
2022-09-22 00,0.38473195278990024
2022-09-22 00,0.3787385761589404
2022-09-22 00,0.38206130801342386
2022-09-22 00,0.38269762048165684
2022-09-22 00,0.38402357011277355
2022-09-22 00,0.38476884270831435
2022-09-22 00,0.38882290212359466
2022-09-22 00,0.3913380827697233
2022-09-22 00,0.39492721073236137
2022-09-22 00,0.39634341852352817
2022-09-22 00,0.391271363133786
2022-09-22 00,0.3831364211731296
2022-09-22 00,0.3864242363634345
2022-09-22 00,0.3835013120390897
2022-09-22 00,0.379315054390721
2022-09-22 00,0.37525782353209136
2022-09-22 00,0.381490661971056
2022-09-22 00,0.38500645621139196
2022-09-22 00,0.3944790052511642
2022-09-22 00,0.39429095563139926
2022-09-22 00,0.3950780751360422
2022-09-22 00,0.39443934944871745
2022-09-22 00,0.397250948658163
2022-09-22 00,0.39793898968498354
2022-09-22 00,0.3946937981105668
2022-09-22 00,0.3933082672531551
2022-09-22 00,0.3912911981355154
2022-09-22 00,0.39064412928481645
2022-09-22 00,0.39156503061800363
2022-09-22 00,0.3936325336404515
2022-09-22 00,0.39412117719445733
2022-09-22 00,0.4004259651621196
2022-09-22 00,0.3989749407632095
2022-09-22 00,0.4016567892118763
2022-09-22 00,0.3981827731730273
2022-09-22 00,0.39146179971570877
2022-09-22 00,0.3891128543177324
2022-09-22 00,0.38269729667943075
2022-09-22 00,0.3791588629734221
2022-09-22 00,0.37688050731208295
2022-09-22 00,0.3791732047720961
2022-09-22 00,0.38967197418423466
2022-09-22 00,0.394321357429636
2022-09-22 00,0.393295387173016
2022-09-22 00,0.39301852935053094
2022-09-22 00,0.3953060346083965
2022-09-22 00,0.393245757570012
2022-09-22 00,0.39451839021154267
2022-09-22 00,0.39315006157745364
2022-09-22 00,0.3881077700159322
2022-09-22 00,0.39161799623444093
2022-09-22 00,0.3904648335171653
2022-09-22 00,0.3925449868108334
2022-09-22 00,0.39814010381285814
2022-09-22 00,0.39821254835697445
2022-09-22 00,0.4000973428810294
2022-09-22 00,0.4047765367907759
2022-09-22 00,0.40286653577970516
2022-09-22 00,0.3989532285250872
2022-09-22 00,0.3895557701907842
2022-09-22 00,0.38003799421628365
2022-09-22 00,0.3755931980920906
2022-09-22 00,0.37283888427299705
2022-09-22 00,0.37078090162273014
2022-09-22 00,0.3738136524946072
2022-09-22 00,0.38299006906122274
2022-09-22 00,0.3841270481338043
2022-09-22 00,0.38190692168519
2022-09-22 00,0.3834520819696894
2022-09-22 00,0.3824040266029054
2022-09-22 00,0.38501380713253874
