Time (UTC),Price (USD/MWh)
2022-09-30 13,183.03753513946543
2022-09-30 14,130.93605409433707
2022-09-30 15,85.95147292682597
2022-09-30 16,70.67856686732551
2022-09-30 17,55.40566080782507
2022-09-30 18,40.132754748323975
2022-09-30 19,43.31843338041552
2022-09-30 20,61.55837591217101
2022-09-30 21,79.79831844392729
2022-09-30 22,100.22487577304823
2022-09-30 23,130.4494388629156
2022-10-01 00,136.2805980359242
2022-10-01 01,121.53363118389586
2022-10-01 02,106.78666433186748
2022-10-01 03,92.03969747983848
2022-10-01 04,109.50851767220104
2022-10-01 05,130.37436919570237
2022-10-01 06,151.24022071920461
2022-10-01 07,172.10607224270598
2022-10-01 08,174.90892866473308
2022-10-01 09,154.70571514867495
2022-10-01 10,134.50250163261768
2022-10-01 11,125.16204724092935
2022-10-01 12,116.01965240793983
2022-10-01 13,106.8772575749507
2022-10-01 14,97.73486274196156
2022-10-01 15,88.59246790897203
2022-10-01 16,79.4500730759829
2022-10-01 17,70.30767824299377
2022-10-01 18,93.86271607586065
2022-10-01 19,125.38644894957082
2022-10-01 20,156.91018182328102
2022-10-01 21,166.3158777803551
2022-10-01 22,156.36352025404915
2022-10-01 23,159.63838379004295
2022-10-02 00,167.11799795552642
2022-10-02 01,127.15621765061974
2022-10-02 02,95.29214312685048
2022-10-02 03,164.40661857961646
2022-10-02 04,233.5210940323795
2022-10-02 05,302.63556948514247
2022-10-02 06,371.75004493790846
2022-10-02 07,386.4029716125513
2022-10-02 08,354.6173111324995
2022-10-02 09,322.83165065244634
2022-10-02 10,291.0459901723945
2022-10-02 11,259.2603296923427
2022-10-02 12,232.4237296519052
2022-10-02 13,210.94262691876946
2022-10-02 14,189.46152418563375
2022-10-02 15,167.9804214524971
2022-10-02 16,182.92971508041032
2022-10-02 17,208.03038052403335
2022-10-02 18,233.13104596765743
2022-10-02 19,231.7324184211896
2022-10-02 20,199.8257981847318
2022-10-02 21,167.91917794827265
2022-10-02 22,136.01255771181485
2022-10-02 23,116.22262492324649
2022-10-03 00,102.42574206253792
2022-10-03 01,88.62885920182994
2022-10-03 02,134.72295570735557
2022-10-03 03,213.8474870945302
2022-10-03 04,292.9720184817014
2022-10-03 05,372.0965498688727
2022-10-03 06,451.22108125604734
2022-10-03 07,446.28840837903175
2022-10-03 08,402.717701371098
2022-10-03 09,354.04432723391017
2022-10-03 10,305.3709530967244
2022-10-03 11,261.3561326475284
2022-10-03 12,254.66260968271737
2022-10-03 13,272.0896067339491
2022-10-03 14,339.1787853593258
2022-10-03 15,406.2679639847053
2022-10-03 16,473.357142610082
2022-10-03 17,540.4463212354588
2022-10-03 18,499.07307022797585
2022-10-03 19,426.00220868338977
2022-10-03 20,352.93134713880363
2022-10-03 21,305.55935635853746
2022-10-03 22,259.5659371532699
2022-10-03 23,213.5725179480023
2022-10-04 00,239.8943239861302
2022-10-04 01,301.9918602834797
2022-10-04 02,364.0893965808292
2022-10-04 03,426.1869328781813
2022-10-04 04,479.9369839422807
2022-10-04 05,421.9201507067477
2022-10-04 06,363.9033174712122
2022-10-04 07,305.8864842356792
2022-10-04 08,261.8330730970731
2022-10-04 09,224.27328724154034
2022-10-04 10,186.71350138600923
2022-10-04 11,149.1537155304781
2022-10-04 12,128.2535249918241
2022-10-04 13,178.41982056827845
2022-10-04 14,228.5861161447328
2022-10-04 15,278.75241172118933
2022-10-04 16,328.91870729764366
2022-10-04 17,269.9766748892674
2022-10-04 18,210.95008149851864
2022-10-04 19,151.92348810777244
2022-10-04 20,112.8027512331621
2022-10-04 21,86.78696456216558
2022-10-04 22,60.77117789117017
2022-10-04 23,34.755391220174744
2022-10-05 00,68.63252664577962
2022-10-05 01,112.01822796738335
2022-10-05 02,155.40392928898706
2022-10-05 03,198.78963061059264
2022-10-05 04,192.89031120911764
2022-10-05 05,155.733759864933
2022-10-05 06,118.5772085207468
2022-10-05 07,81.42065717656214
2022-10-05 08,44.26410583237751
2022-10-05 09,25.03478859882149
2022-10-05 10,25.014120604229035
2022-10-05 11,23.767015731190494
2022-10-05 12,22.058353149379425
2022-10-05 13,39.89569705537774
2022-10-05 14,90.21321589568898
2022-10-05 15,140.53073473600233
2022-10-05 16,190.84825357631357
2022-10-05 17,181.58868632109292
2022-10-05 18,147.99636467919493
2022-10-05 19,114.40404303729836
2022-10-05 20,80.81172139540179
2022-10-05 21,47.21939975350381
2022-10-05 22,70.43331497264022
2022-10-05 23,127.39702172839219
2022-10-06 00,184.3607284841466
2022-10-06 01,269.88722245518017
2022-10-06 02,380.9028373860022
2022-10-06 03,377.47868109623715
2022-10-06 04,317.6983903681385
2022-10-06 05,257.9180996400399
2022-10-06 06,198.1378089119387
2022-10-06 07,184.81644072865524
2022-10-06 08,184.708060819871
2022-10-06 09,166.36423135347388
2022-10-06 10,161.87170336680865
2022-10-06 11,186.73075328397897
2022-10-06 12,246.61480378392736
2022-10-06 13,306.4988542838732
2022-10-06 14,327.01701409762074
2022-10-06 15,282.10623521819
2022-10-06 16,237.19545633876118
2022-10-06 17,192.51370510464878
2022-10-06 18,149.7867728768733
2022-10-06 19,107.05984064909964
2022-10-06 20,64.33290842132598
2022-10-06 21,108.47531491242708
2022-10-06 22,167.62598053435954
