Time (UTC),Price (USD/MWh)
2022-09-26 17,340.1687889686872
2022-09-26 18,294.11830044304355
2022-09-26 19,268.47238679447736
2022-09-26 20,242.82647314591063
2022-09-26 21,178.59342609399957
2022-09-26 22,169.3278057237514
2022-09-26 23,160.06218535350303
2022-09-27 00,155.8424635830487
2022-09-27 01,193.5667752954926
2022-09-27 02,231.29108700793728
2022-09-27 03,279.02724399247694
2022-09-27 04,381.61089650242917
2022-09-27 05,284.5350905592577
2022-09-27 06,218.64080530976008
2022-09-27 07,164.13976923183225
2022-09-27 08,195.02517042316998
2022-09-27 09,225.91057161450775
2022-09-27 10,256.7959728058448
2022-09-27 11,286.9586541502852
2022-09-27 12,316.3273615786892
2022-09-27 13,345.69606900709255
2022-09-27 14,375.06477643549647
2022-09-27 15,404.43348386390045
2022-09-27 16,395.86911466247454
2022-09-27 17,374.77328256869833
2022-09-27 18,353.6774504749221
2022-09-27 19,332.5816183811463
2022-09-27 20,311.2525911603276
2022-09-27 21,281.47023981285344
2022-09-27 22,251.68788846537996
2022-09-27 23,258.65518870047384
2022-09-28 00,284.18291827868694
2022-09-28 01,309.7106478568995
2022-09-28 02,335.2383774351126
2022-09-28 03,405.13029401149004
2022-09-28 04,462.5940180135476
2022-09-28 05,423.5460465548058
2022-09-28 06,384.498075096064
2022-09-28 07,348.2454840591474
2022-09-28 08,316.2570326338093
2022-09-28 09,287.7109861062376
2022-09-28 10,289.08794764890365
2022-09-28 11,325.4885992783472
2022-09-28 12,361.8892509077907
2022-09-28 13,398.2899025372335
2022-09-28 14,456.14450781809717
2022-09-28 15,562.0373111935635
2022-09-28 16,554.8119634951202
2022-09-28 17,450.02220873832835
2022-09-28 18,405.9964464679147
2022-09-28 19,380.62629550443404
2022-09-28 20,355.25614454095285
2022-09-28 21,332.3289902633114
2022-09-28 22,317.9893396302052
2022-09-28 23,322.4977792554108
2022-09-29 00,350.07403031003446
2022-09-29 01,377.65028136465753
2022-09-29 02,405.2265324192812
2022-09-29 03,487.7702105277672
2022-09-29 04,528.1906996797138
2022-09-29 05,359.09090895998736
2022-09-29 06,313.4290789207989
2022-09-29 07,338.7992300843247
2022-09-29 08,290.55374600059747
2022-09-29 09,321.99067242763545
2022-09-29 10,318.2040273110573
2022-09-29 11,356.20373073214836
2022-09-29 12,422.3867336969722
2022-09-29 13,488.5697366617947
2022-09-29 14,554.7527396266187
2022-09-29 15,549.7279383879008
2022-09-29 16,474.4447732865731
2022-09-29 17,403.70891330951815
2022-09-29 18,377.2825979180024
2022-09-29 19,364.41368074705747
2022-09-29 20,351.5447635761122
2022-09-29 21,338.67584640516696
2022-09-29 22,325.806929234222
2022-09-29 23,326.9543975396165
2022-09-30 00,373.7552350875792
2022-09-30 01,420.5560726355409
2022-09-30 02,467.3569101835026
2022-09-30 03,489.29153122332826
2022-09-30 04,289.08794718882297
2022-09-30 05,293.2484453037115
2022-09-30 06,286.40065337628926
2022-09-30 07,112.67027053013857
2022-09-30 08,188.39206388362143
2022-09-30 09,174.0339057042311
2022-09-30 10,132.66952884214635
2022-09-30 11,170.35830561869398
2022-09-30 12,231.14006486995285
2022-09-30 13,274.82084683496
2022-09-30 14,318.50162879996714
2022-09-30 15,273.5915753534026
2022-09-30 16,216.5087358577093
2022-09-30 17,173.87622169817746
2022-09-30 18,144.75570050932888
2022-09-30 19,115.63517932048151
2022-09-30 20,86.51465813163416
2022-09-30 21,57.394136942785565
2022-09-30 22,28.273615753938202
2022-09-30 23,23.001184472746274
2022-10-01 00,25.34794192816099
2022-10-01 01,17.626591585087027
2022-10-01 02,47.086911796809076
2022-10-01 03,95.8968759956665
2022-10-01 04,124.91856678956046
2022-10-01 05,107.82992794016153
2022-10-01 06,99.37321092571734
2022-10-01 07,90.91649391127353
2022-10-01 08,82.45977689682971
2022-10-01 09,74.00305988238554
2022-10-01 10,65.54634286794172
2022-10-01 11,94.04797172829822
2022-10-01 12,131.86683034683205
2022-10-01 13,169.68568896536422
2022-10-01 14,207.50454758389643
2022-10-01 15,197.76872964300432
2022-10-01 16,164.01539839583376
2022-10-01 17,130.26206714866322
2022-10-01 18,124.05241333028479
2022-10-01 19,101.82114304153036
2022-10-01 20,85.51969106884884
2022-10-01 21,115.51303073547496
2022-10-01 22,97.31270421381282
2022-10-01 23,123.1862585053106
2022-10-02 00,149.6594589736547
2022-10-02 01,176.13265944199765
2022-10-02 02,176.95440027984765
2022-10-02 03,159.37592433730575
2022-10-02 04,177.02102466596824
2022-10-02 05,150.54782240184508
2022-10-02 06,179.13088847939653
2022-10-02 07,156.24999717905516
2022-10-02 08,110.74918541694231
2022-10-02 09,99.97223791720405
2022-10-02 10,152.0913548889808
2022-10-02 11,204.21047186075756
2022-10-02 12,273.58602455591654
2022-10-02 13,343.07817345004946
2022-10-02 14,347.15724206389183
2022-10-02 15,312.9626906680489
2022-10-02 16,278.7681392722074
2022-10-02 17,244.57358787636588
2022-10-02 18,210.37903648052293
2022-10-02 19,190.45010317161396
2022-10-02 20,201.48060415027268
2022-10-02 21,196.62052023726193
2022-10-02 22,187.01510238304695
